,0,1
0,Accounting,Accounting+Clerk
1,Accounting,Accounting+Clerk+Leader
2,Accounting,Accounting+Director
3,Accounting,Accounting+Manager
4,Accounting,Accounting+Supervisor
5,Accounting,Accounting+Vice+President
6,Accounting,Accounts+Supervisor
7,Accounting,Assistant+Director+of+Finance
8,Accounting,Assistant+Director+of+Financial+Operations
9,Accounting,Audit+Supervisor
10,Accounting,Auditor
11,Accounting,Bookkeeper
12,Accounting,Budget+Analyst
13,Accounting,Budget+Manager
14,Accounting,Bursar
15,Accounting,Certified+Public+Accountant
16,Accounting,Chief+Accounting+Officer
17,Accounting,Chief+Financial+Officer
18,Accounting,Compliance+Auditor
19,Accounting,Contracts++Financial+Compliance+Manager
20,Accounting,Controller
21,Accounting,Corporate+Accountant
22,Accounting,Cost+Accountant
23,Accounting,Director+of+Financial+Operations
24,Accounting,Environmental+Auditor
25,Accounting,External+Auditor
26,Accounting,Financial+Analyst
27,Accounting,Financial+Assurance+Manager
28,Accounting,Financial+Assurance+Specialist
29,Accounting,Forensic+Accountant
30,Accounting,Gift+Administration+Specialist
31,Accounting,Gift+Assurance+Officer
32,Accounting,Government+Accountant
33,Accounting,Government+Auditor
34,Accounting,Grants++Contracts+Assistant
35,Accounting,Grants++Contracts+Specialist
36,Accounting,Industrial+Accountant
37,Accounting,Information+Technology+Audit+Manager
38,Accounting,Information+Technology+Auditor
39,Accounting,Internal+Auditor
40,Accounting,Management+Accountant
41,Accounting,Managerial+Accountant
42,Accounting,Payroll+Manager
43,Accounting,Payroll+Services+Analyst
44,Accounting,Private+Accountant
45,Accounting,Public+Accountant
46,Accounting,Revenue+Cycle+Administrator
47,Accounting,Revenue+Cycle+Manager
48,Accounting,Revenue+Cycle+Supervisor
49,Accounting,Senior+Auditor
50,Accounting,Senior+Budget+Analyst
51,Accounting,Senior+Cash+Management+Analyst
52,Accounting,Senior+Financial+Analyst
53,Accounting,Senior+General+Audit+Manager
54,Accounting,Senior+Gift+Assurance+Officer
55,Accounting,Senior+Grants++Contracts+Specialist
56,Accounting,Senior+Strategic+Planner
57,Accounting,Staff+Accountant
58,Accounting,Staff+Auditor
59,Accounting,Strategic+Planner
60,Accounting,Strategic+Planning++Institutional+Analysis+Manager
61,Accounting,Strategic+Program+Planning+Advisor
62,Accounting,Tax+Accountant
63,Accounting,Tax+Specialist
64,Administrative,Administrative+Assistant
65,Administrative,Administrative+Coordinator
66,Administrative,Administrative+Director
67,Administrative,Administrative+Manager
68,Administrative,Administrative+Services+Manager
69,Administrative,Administrative+Services+Officer
70,Administrative,Administrative+Specialist
71,Administrative,Administrative+Support+Manager
72,Administrative,Administrative+Support+Supervisor
73,Administrative,Administrator
74,Administrative,Assistant+Director
75,Administrative,Billing+Clerk
76,Administrative,Billing+Coordinator
77,Administrative,Bookkeeper
78,Administrative,Client+Relations+Manager
79,Administrative,Contract+Administrator
80,Administrative,Credit+Clerk
81,Administrative,Data+Entry
82,Administrative,Executive+Assistant
83,Administrative,Executive+Services+Administrator
84,Administrative,Facility+Manager
85,Administrative,File+Clerk
86,Administrative,General+Office+Clerk
87,Administrative,Human+Resources+Administrator
88,Administrative,Information+Clerk
89,Administrative,Legal+Secretary
90,Administrative,Mail+Clerk
91,Administrative,Mail+Clerk+Leader
92,Administrative,Mail+Equipment+Operator
93,Administrative,Medical+Secretary
94,Administrative,Office+Assistant
95,Administrative,Office+Clerk
96,Administrative,Office+Manager
97,Administrative,Office+Support+Manager
98,Administrative,Office+Support+Supervisor
99,Administrative,Program+Manager
100,Administrative,Receptionist
101,Administrative,Records+Management+Analyst
102,Administrative,Secretary
103,Administrative,Senior+Administrative+Analyst
104,Administrative,Senior+Administrative+Coordinator
105,Administrative,Senior+Administrative+Services+Officer
106,Administrative,Senior+Coordinator
107,Administrative,Senior+Executive+Assistant
108,Administrative,Senior+Special+Events+Coordinator
109,Administrative,Senior+Support+Assistant
110,Administrative,Senior+Support+Specialist
111,Administrative,Special+Events+Coordinator
112,Administrative,Special+Programs+Coordinator
113,Administrative,Staff+Assistant
114,Administrative,Support+Assistant
115,Administrative,Support+Specialist
116,Administrative,Typist
117,Administrative,Virtual+Assistant
118,Administrative,Virtual+Receptionist
119,Administrative,Word+Processor
120,Airline,Account+Executive
121,Airline,Agent
122,Airline,Aircraft+Avionics+Technician
123,Airline,Aircraft+Cleaning+Supervisor
124,Airline,Aircraft+Sheet+Metal+Mechanic
125,Airline,Aircraft+Structures+Mechanic
126,Airline,Airline+IT+Product+Specialist
127,Airline,Analyst
128,Airline,Assistant+Manager+Events
129,Airline,Attorney
130,Airline,Auditor
131,Airline,Aviation+Inside+Sales
132,Airline,Aviation+Safety+Staff+Engineer
133,Airline,Aviation+Security+Intelligence+Inspector
134,Airline,Baggage+Hler
135,Airline,Base+Specialty+Electrician
136,Airline,Business+Consultant
137,Airline,Business+Systems+Analyst
138,Airline,Captain
139,Airline,Cargo+Agent
140,Airline,Catering+Account+Manger
141,Airline,Club+Representative
142,Airline,Co-Pilot
143,Airline,Commercial+Airline+Refueler
144,Airline,Corporate+Relations+Manager
145,Airline,Corporate+Reservations+Agent
146,Airline,Corporate+Travel+Agent
147,Airline,Crew+Schedulers
148,Airline,Crew+Scheduling+Manager
149,Airline,Crew+Scheduling+Supervisor
150,Airline,Crew+Scheduling+Trainee
151,Airline,Cruise+Pilot
152,Airline,Customer+Service+Agent
153,Airline,Customer+Service+Manager
154,Airline,"Director,+Pilot+Training"
155,Airline,Dispatcher
156,Airline,Event+Coordinator
157,Airline,Export+Receiving+Agent
158,Airline,Financial+Analyst
159,Airline,First+Officer
160,Airline,Flight+Attendant
161,Airline,Flight+Coordinator
162,Airline,Flight+Instructor
163,Airline,Food++Equipment+Hler
164,Airline,Gate+Agent
165,Airline,Ground+Service+Agent
166,Airline,Ground+Service+Crew
167,Airline,Ground+Support+Equipment+Mechanic
168,Airline,Human+Resources+Manager
169,Airline,In-Flight+Training+Manager
170,Airline,Infrastructure+Manager
171,Airline,Instructor
172,Airline,Logistics+Manager
173,Airline,Manager
174,Airline,Manager+of+Aircraft+Appearance++Operations
175,Airline,Marketing+Communications+Specialist
176,Airline,Mechanic
177,Airline,Multilingual+Flight+Attendant
178,Airline,Operations+Agent
179,Airline,Operations+Manager
180,Airline,Passenger+Service+Agent
181,Airline,Pilot
182,Airline,Principal+Service+Engineer
183,Airline,Program+Manager
184,Airline,Project+Manager
185,Airline,Provisioning+Agents
186,Airline,Quality+Assurance+Agent
187,Airline,Quality+Assurance+Coordinator
188,Airline,Quality+Assurance+Manager
189,Airline,Ramp+Agents
190,Airline,Ramp+Operator
191,Airline,Recruiter
192,Airline,Reservations+Agent
193,Airline,Sales+Agent
194,Airline,Sales+Manager
195,Airline,Senior+Analyst+Airport+Services
196,Airline,Senior+Avionics+Engineer
197,Airline,Senior+Manager+Yield++Revenue+Management
198,Airline,Specialist+-+Metrics++Reporting
199,Airline,Staff+Assistant+-+Accounting
200,Airline,Station+Agent
201,Airline,Supervisor+-+Airline+Passenger+Service
202,Airline,Supervisor+Aircraft+Maintenance
203,Airline,Technology+-+Solution+Architect
204,Airline,"Technology+Manager,+Asset++Configuration"
205,Airline,"Technology+Manager,+Change+Deployment+Manager"
206,Airline,Ticket+Agent
207,Airline,Trainee+Flight+Attendant
208,Airline,Transport+Pilot
209,Airline,Travel+Agent
210,Airline,Travel+Consultant
211,Airline,Utility+Specialist
212,Airline,Warehouse+Equipment+Agent
213,Airline,Wheelchair+agent
214,Animal,Admissions+Coordinator
215,Animal,Animal+Care+Assistant
216,Animal,Animal+Care+Courier
217,Animal,Animal+Caregiver
218,Animal,Animal+Caretaker 
219,Animal,Animal+Care+Technician
220,Animal,Animal+Control+Supervisor
221,Animal,Animal+Health+Technician
